"","model","mirt_dim","parameter","missing","bias_sq","var","mse","iw"
"248","pvae",3,"d",0,0.0370566869478378,9.68998795597441e-05,0.0371535868273975,25
"249","pvae",3,"theta",0,0.341832961891453,0.00993580991718623,0.351768771808639,25
"250","pvae",10,"a",0,0.268039462747475,0.0039111248687638,0.271950587616239,1
"251","pvae",10,"d",0,0.145119216584295,0.000137073680801118,0.145256290265096,1
"252","pvae",10,"theta",0,0.81113506194076,0.11131607498922,0.92245113692998,1
"253","pvae",10,"a",0,0.102415710004071,0.00244746120870845,0.104863171212779,5
"254","pvae",10,"d",0,0.165816017281356,0.000158640850901344,0.165974658132257,5
"255","pvae",10,"theta",0,0.485897688718585,0.0654226984429467,0.551320387161532,5
"256","pvae",10,"a",0,0.0559493375131235,0.000881885582719833,0.0568312230958433,25
"257","pvae",10,"d",0,0.19660988543507,8.43576085595061e-05,0.196694243043629,25
"258","pvae",10,"theta",0,0.393903829384525,0.0296802707815921,0.423584100166117,25
"259","pvae",3,"a",0.08333333,0.484310679759743,0.00963381045381797,0.493944490213561,1
"260","pvae",3,"d",0.08333333,0.0860574539865958,0.000371447910932558,0.0864289018975284,1
"261","pvae",3,"theta",0.08333333,0.774133985426931,0.074990979892838,0.849124965319769,1
"262","pvae",3,"a",0.08333333,0.133693097496704,0.000447548921788177,0.134140646418492,5
"263","pvae",3,"d",0.08333333,0.0485313441418985,4.71406433093024e-05,0.0485784847852078,5
"264","pvae",3,"theta",0.08333333,0.507470870956379,0.017827662077688,0.525298533034067,5
"265","pvae",3,"a",0.08333333,0.0376168486755836,0.000519603693577771,0.0381364523691613,25
"266","pvae",3,"d",0.08333333,0.0374286486880339,0.000137772033449092,0.037566420721483,25
"267","pvae",3,"theta",0.08333333,0.368830846899398,0.0109315643988221,0.37976241129822,25
"268","pvae",10,"a",0.08333333,0.282982258958585,0.00218819707889248,0.285170456037478,1
"269","pvae",10,"d",0.08333333,0.151579623851274,5.64499879701181e-05,0.151636073839244,1
"270","pvae",10,"theta",0.08333333,0.879554963835996,0.0652154482555035,0.9447704120915,1
"271","pvae",10,"a",0.08333333,0.106087085011676,0.00302229371969867,0.109109378731374,5
"272","pvae",10,"d",0.08333333,0.163942314852281,0.000169105966168379,0.16411142081845,5
"273","pvae",10,"theta",0.08333333,0.498703743953892,0.0679315504116199,0.566635294365512,5
"274","pvae",10,"a",0.08333333,0.0573326505861687,0.000753388049542806,0.0580860386357115,25
"275","pvae",10,"d",0.08333333,0.192320211776275,8.49577807026467e-05,0.192405169556978,25
"276","pvae",10,"theta",0.08333333,0.410366046288311,0.0281212335267089,0.43848727981502,25
"277","pvae",3,"a",0.16666667,0.585728473442898,0.00520504048444232,0.59093351392734,1
"278","pvae",3,"d",0.16666667,0.0976137018965572,2.73593405740055e-05,0.0976410612371312,1
"279","pvae",3,"theta",0.16666667,0.894066541586112,0.0504420734445246,0.944508615030637,1
"280","pvae",3,"a",0.16666667,0.137433365344088,0.00100522458667392,0.138438589930762,5
"281","pvae",3,"d",0.16666667,0.054147399797806,7.17792535534682e-05,0.0542191790513595,5
"282","pvae",3,"theta",0.16666667,0.521947501559415,0.0185342356591329,0.540481737218548,5
"283","pvae",3,"a",0.16666667,0.0448506151787639,0.000971476246011393,0.0458220914247753,25
"284","pvae",3,"d",0.16666667,0.0434621710144562,0.000107586351388601,0.0435697573658448,25
"285","pvae",3,"theta",0.16666667,0.39439800628141,0.012600862138206,0.406998868419616,25
